discount,endRemainTime,jdPrice,miaoShaPrice,rate,soldRate,startRemainTime,startTimeShow
699.0,48766,1998.0,1299.0,0.65015015015,25,-37634,0
300.0,48766,5299.0,4999.0,0.943385544442,20,-37634,0
2000.0,48766,9999.0,7999.0,0.799979998,32,-37634,0
830.0,48706,4529.0,3699.0,0.816736586443,16,-37634,0
1150.0,48706,6049.0,4899.0,0.809885931559,31,-37634,0
1050.0,48706,5949.0,4899.0,0.823499747857,23,-37634,0
163.0,77566,299.0,136.0,0.454849498328,24,-8834,1
701.0,77566,1099.0,398.0,0.362147406733,31,-8834,1
200.0,77566,699.0,499.0,0.713876967096,23,-8834,1
8.9,77566,9.9,1.0,0.10101010101,76,-8834,1
38.1,77566,48.0,9.9,0.20625,33,-8834,1
20.0,77566,69.9,49.9,0.713876967096,30,-8834,1
1299.0,77566,1998.0,699.0,0.34984984985,31,-8834,1
500.0,77566,999.0,499.0,0.499499499499,30,-8834,1
481.0,77566,1280.0,799.0,0.62421875,37,-8834,1
49.1,77566,59.0,9.9,0.167796610169,30,-8834,1
1400.0,77566,2999.0,1599.0,0.533177725909,47,-8834,1
800.0,77566,3980.0,3180.0,0.798994974874,26,-8834,1
222.0,77566,7388.0,7166.0,0.969951272334,28,-8834,1
300.0,77566,1099.0,799.0,0.727024567789,33,-8834,1
30.0,77566,99.0,69.0,0.69696969697,50,-8834,1
100.0,77566,698.0,598.0,0.856733524355,37,-8834,1
400.0,77566,1599.0,1199.0,0.749843652283,25,-8834,1
199.0,77566,1198.0,999.0,0.833889816361,30,-8834,1
1.0,77566,3398.0,3397.0,0.999705709241,31,-8834,1
20.0,77566,11999.0,11979.0,0.998333194433,31,-8834,1
1.0,77566,5999.0,5998.0,0.999833305551,20,-8834,1
50.1,77566,120.0,69.9,0.5825,38,-8834,1
15.0,77566,26.9,11.9,0.442379182156,24,-8834,1
68.0,77566,117.9,49.9,0.423240033927,24,-8834,1
131.0,84764,298.0,167.0,0.560402684564,26,-1634,2
129.2,84764,299.0,169.8,0.567892976589,30,-1634,2
411.0,84764,2599.0,2188.0,0.841862254713,31,-1634,2
300.0,84764,2788.0,2488.0,0.892395982783,26,-1634,2
49.0,84764,98.0,49.0,0.5,34,-1634,2
152.0,84764,198.0,46.0,0.232323232323,45,-1634,2
89.0,84764,128.0,39.0,0.3046875,24,-1634,2
611.0,84764,1999.0,1388.0,0.694347173587,25,-1634,2
27.3,84764,40.8,13.5,0.330882352941,29,-1634,2
200.0,84764,499.0,299.0,0.599198396794,31,-1634,2
4720.0,84764,8800.0,4080.0,0.463636363636,34,-1634,2
13.7,84764,39.5,25.8,0.653164556962,20,-1634,2
35.1,84764,65.0,29.9,0.46,30,-1634,2
2411.0,84764,2699.0,288.0,0.106706187477,79,-1634,2
50.0,84764,368.0,318.0,0.864130434783,30,-1634,2
1100.0,84764,1199.0,99.0,0.0825688073394,41,-1634,2
500.0,84764,698.0,198.0,0.283667621777,58,-1634,2
58.1,84764,98.0,39.9,0.407142857143,15,-1634,2
26.0,84764,51.0,25.0,0.490196078431,36,-1634,2
30.7,84764,69.1,38.4,0.555716353111,30,-1634,2
300.0,84764,2080.0,1780.0,0.855769230769,40,-1634,2
70.0,84764,169.0,99.0,0.585798816568,17,-1634,2
3600.0,84764,6099.0,2499.0,0.409739301525,30,-1634,2
1900.0,84764,4599.0,2699.0,0.586866710154,34,-1634,2
700.0,84764,1699.0,999.0,0.587992937022,31,-1634,2
50.0,84764,99.0,49.0,0.494949494949,28,-1634,2
26.0,84764,125.0,99.0,0.792,40,-1634,2
59.2,84764,99.0,39.8,0.40202020202,21,-1634,2
256.1,84764,380.0,123.9,0.326052631579,54,-1634,2
130.0,84764,268.0,138.0,0.514925373134,40,-1634,2
29.0,84764,55.0,26.0,0.472727272727,28,-1634,2
20.0,84764,69.0,49.0,0.710144927536,17,-1634,2
73.0,84764,318.0,245.0,0.770440251572,22,-1634,2
47.0,84764,199.0,152.0,0.763819095477,29,-1634,2
9.0,84764,58.9,49.9,0.847198641766,16,-1634,2
50.0,84764,119.0,69.0,0.579831932773,17,-1634,2
10.0,84764,299.0,289.0,0.966555183946,27,-1634,2
400.0,84764,19999.0,19599.0,0.97999899995,19,-1634,2
500.0,84764,12999.0,12499.0,0.961535502731,25,-1634,2
80.0,84764,248.0,168.0,0.677419354839,31,-1634,2
1888.0,84764,8376.0,6488.0,0.774594078319,15,-1634,2
7.1,84764,27.0,19.9,0.737037037037,30,-1634,2
600.0,84764,5799.0,5199.0,0.896533885153,23,-1634,2
601.0,84764,9999.0,9398.0,0.939893989399,22,-1634,2
68.1,84764,138.0,69.9,0.50652173913,26,-1634,2
30.0,84764,2798.0,2768.0,0.989278055754,30,-1634,2
530.0,84764,1099.0,569.0,0.517743403094,22,-1634,2
9.0,84764,48.0,39.0,0.8125,32,-1634,2
18.1,84764,58.0,39.9,0.687931034483,20,-1634,2
660.0,84764,789.0,129.0,0.163498098859,91,-1634,2
500.0,84764,599.0,99.0,0.165275459098,40,-1634,2
47.0,84764,316.0,269.0,0.851265822785,56,-1634,2
1519.0,84765,4999.0,3480.0,0.696139227846,17,-1634,2
